# Simuation_for_state_estimation (Up to date)
# 1072 data points written for 3 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (43.8 m/s)
#
# Time (s),Vertical acceleration (m/s²),Lateral acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,13.098,0
0.02,37.733,0
0.03,35.735,0
# Event LIFTOFF occurred at t=0.04 seconds
0.04,50.689,0
0.05,67.397,0
0.06,70.3,0
0.07,66.358,0
0.08,67.872,0
0.09,69.55,0
0.1,71.227,0
0.11,72.904,0
0.12,74.361,0
0.13,74.906,0
0.14,75.353,0
0.15,75.798,0
0.16,76.244,0
0.17,76.855,0
0.179,77.551,0
# Event LAUNCHROD occurred at t=0.188 seconds
0.188,78.199,0
0.201,78.986,2.043
0.221,80.168,1.976
0.25,81.762,1.732
0.289,82.066,0.647
0.339,82.083,0.469
0.389,83.173,2.113
0.439,84.27,3.911
0.489,84.233,6.249
0.539,83.936,7.401
0.589,83.526,9.193
0.639,82.949,11.729
0.682,82.377,13.376
0.711,81.993,14.053
0.736,81.704,14.358
0.76,81.524,13.996
0.787,81.431,12.718
0.827,81.255,10.833
0.877,80.909,9.904
0.927,80.5,10.732
0.977,79.636,11.561
1.027,77.711,10.245
1.077,75.526,10.254
1.127,73.313,10.473
1.155,71.794,9.401
1.195,70.353,4.411
1.215,68.925,2.678
1.229,68.029,2.125
1.243,67.275,1.944
1.256,66.537,2.096
1.269,65.768,2.59
1.284,64.91,3.443
1.303,63.857,4.755
1.331,62.345,6.58
1.373,60.067,9.05
1.415,57.67,10.725
1.437,56.074,11.179
1.456,55.021,11.122
1.476,53.94,10.768
1.498,52.688,9.868
1.527,51.426,6.095
1.561,49.679,2.983
1.573,48.394,2.433
1.584,47.688,2.52
1.596,46.956,2.928
1.608,46.027,4.749
1.627,44.6,8.375
1.656,42.471,12.907
1.666,41.243,13.997
1.675,40.607,14.52
1.683,40.083,14.75
1.69,39.632,14.738
1.698,39.233,14.501
1.706,38.912,13.774
1.714,38.625,12.662
1.724,38.335,11.13
